	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-A20_contigs_AM-388-A20_NODE_3_1	AM-388-A20_contigs	AM-388-A20_NODE_3	1	812	1999	-1	D										Putative transposase [PF04986.16]; Transposase zinc-binding domain [PF14319.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_2	AM-388-A20_contigs	AM-388-A20_NODE_3	2	1983	2867	-1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF13495.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_3	AM-388-A20_contigs	AM-388-A20_NODE_3	3	3134	4033	-1	C	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]								NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase [PF14833.9]; Rossmann-like domain [PF10727.12]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_4	AM-388-A20_contigs	AM-388-A20_NODE_3	4	4387	6534	-1	C	K01768	adenylate cyclase [EC:4.6.1.1]								CHASE2 domain [PF05226.14]; Adenylate and Guanylate cyclase catalytic domain [PF00211.23]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_5	AM-388-A20_contigs	AM-388-A20_NODE_3	5	6540	7493	-1	D			MER0051940	M48C	MER0051940 - subfamily M48C unassigned peptidases (Syntrophobacter fumaroxidans) [M48.UPC]#M48C#{peptidase unit: 19-289}~source EAO22592~	False	0.617	309.0	1.059e-92	Peptidase family M48 [PF01435.21]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_6	AM-388-A20_contigs	AM-388-A20_NODE_3	6	7490	7981	-1	D										Bacterial dipeptidyl-peptidase Sh3 domain [PF18348.4]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_7	AM-388-A20_contigs	AM-388-A20_NODE_3	7	8126	8944	1	C	K06864	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]								PP-loop family [PF01171.23]; tRNA methyl transferase HUP domain [PF03054.19]; NAD synthase [PF02540.20]; Queuosine biosynthesis protein QueC [PF06508.16]; Asparagine synthase [PF00733.24]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_8	AM-388-A20_contigs	AM-388-A20_NODE_3	8	9076	9969	1	C	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]								NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase [PF14833.9]; UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain [PF03721.17]; NADP oxidoreductase coenzyme F420-dependent [PF03807.20]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_9	AM-388-A20_contigs	AM-388-A20_NODE_3	9	10164	10370	1	D										Protein of unknown function (DUF2892) [PF11127.11]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_10	AM-388-A20_contigs	AM-388-A20_NODE_3	10	10474	10815	-1	D										Anaerobic ribonucleoside-triphosphate reductase [PF13597.9]					1
AM-388-A20_contigs_AM-388-A20_NODE_3_11	AM-388-A20_contigs	AM-388-A20_NODE_3	11	11250	11465	-1	C	K09165	dodecin								Dodecin [PF07311.15]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_12	AM-388-A20_contigs	AM-388-A20_NODE_3	12	12147	14198	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_3_13	AM-388-A20_contigs	AM-388-A20_NODE_3	13	14279	15085	-1	D										Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Mycolic acid cyclopropane synthetase [PF02353.23]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_14	AM-388-A20_contigs	AM-388-A20_NODE_3	14	15146	16528	-1	D										B12 binding domain [PF02310.22]; Radical SAM superfamily [PF04055.24]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_15	AM-388-A20_contigs	AM-388-A20_NODE_3	15	16595	16726	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_3_16	AM-388-A20_contigs	AM-388-A20_NODE_3	16	16660	19542	-1	C	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Response regulator receiver domain [PF00072.27]; PAS fold [PF08448.13]; PAS fold [PF00989.28]; PAS domain [PF13426.10]; GAF domain [PF01590.29]; GAF domain [PF13185.9]; GAF domain [PF13492.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_17	AM-388-A20_contigs	AM-388-A20_NODE_3	17	19640	20278	-1	C	K10773	endonuclease III [EC:3.2.2.- 4.2.99.18]								HhH-GPD superfamily base excision DNA repair protein [PF00730.28]; Helix-hairpin-helix motif [PF00633.26]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_18	AM-388-A20_contigs	AM-388-A20_NODE_3	18	20349	21344	1	D										Thiamine biosynthesis protein (ThiI) [PF02568.17]; NFACT protein RNA binding domain [PF18297.4]; tRNA methyl transferase HUP domain [PF03054.19]					1
AM-388-A20_contigs_AM-388-A20_NODE_3_19	AM-388-A20_contigs	AM-388-A20_NODE_3	19	21351	21752	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_3_20	AM-388-A20_contigs	AM-388-A20_NODE_3	20	21919	22578	1	D										Response regulator receiver domain [PF00072.27]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_21	AM-388-A20_contigs	AM-388-A20_NODE_3	21	22921	24015	1	C	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]								Phosphofructokinase [PF00365.23]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_22	AM-388-A20_contigs	AM-388-A20_NODE_3	22	24056	24958	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_3_23	AM-388-A20_contigs	AM-388-A20_NODE_3	23	25127	25714	1	C	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	MER0037361	M23B	MER0037361 - subfamily M23B non-peptidase homologues (Xanthomonas fuscans) [M23.UNB]#M23B#{peptidase unit: 264-326}~source YP_008639164~	False	0.607	61.0	2.465e-09	Transglycosylase SLT domain [PF01464.23]; Lysozyme-like [PF13702.9]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	0
AM-388-A20_contigs_AM-388-A20_NODE_3_24	AM-388-A20_contigs	AM-388-A20_NODE_3	24	25711	27108	-1	C	K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]								UTP--glucose-1-phosphate uridylyltransferase [PF01704.21]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_25	AM-388-A20_contigs	AM-388-A20_NODE_3	25	27152	28213	-1	C	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]								Amino-transferase class IV [PF01063.22]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_26	AM-388-A20_contigs	AM-388-A20_NODE_3	26	28420	29217	1	C	K06940	uncharacterized protein								Putative zinc- or iron-chelating domain [PF03692.18]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_27	AM-388-A20_contigs	AM-388-A20_NODE_3	27	29243	30286	-1	C	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]								Dihydrodipicolinate synthetase family [PF00701.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_28	AM-388-A20_contigs	AM-388-A20_NODE_3	28	30637	31275	1	D										MalT-like TPR region [PF17874.4]; Tetratricopeptide repeat [PF13429.9]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_29	AM-388-A20_contigs	AM-388-A20_NODE_3	29	31331	32512	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_3_30	AM-388-A20_contigs	AM-388-A20_NODE_3	30	32783	34096	1	C	K11180	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]								Nitrite and sulphite reductase 4Fe-4S domain [PF01077.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_31	AM-388-A20_contigs	AM-388-A20_NODE_3	31	34109	35257	1	C	K11181	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]								Nitrite and sulphite reductase 4Fe-4S domain [PF01077.25]; Nitrite/Sulfite reductase ferredoxin-like half domain [PF03460.20]; 4Fe-4S dicluster domain [PF12838.10]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_32	AM-388-A20_contigs	AM-388-A20_NODE_3	32	35324	35563	1	D										Dissimilatory sulfite reductase D (DsrD) [PF08679.14]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_33	AM-388-A20_contigs	AM-388-A20_NODE_3	33	35629	37050	1	C	K02224	cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	MER0183725	C26	MER0183725 - family C26 non-peptidase homologues (Cenarchaeum symbiosum) [C26.UNW]#C26#{peptidase unit: 1-423}~source YP_876856~	False	0.363	271.0	6.376e-77	CobB/CobQ-like glutamine amidotransferase domain [PF07685.17]; AAA domain [PF13500.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_34	AM-388-A20_contigs	AM-388-A20_NODE_3	34	37119	37610	-1	D										Class III cytochrome C family [PF02085.19]					4
AM-388-A20_contigs_AM-388-A20_NODE_3_35	AM-388-A20_contigs	AM-388-A20_NODE_3	35	37753	38499	-1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.21]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_36	AM-388-A20_contigs	AM-388-A20_NODE_3	36	38489	38887	-1	C	K03117	sec-independent protein translocase protein TatB								mttA/Hcf106 family [PF02416.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_37	AM-388-A20_contigs	AM-388-A20_NODE_3	37	39069	40322	-1	C	K08304	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]								MltA specific insert domain [PF03562.20]; 3D domain [PF06725.14]	GH102	GH102 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH102.hmm	0
AM-388-A20_contigs_AM-388-A20_NODE_3_38	AM-388-A20_contigs	AM-388-A20_NODE_3	38	40531	41025	-1	C	K03637	cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]								MoaC family [PF01967.24]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_39	AM-388-A20_contigs	AM-388-A20_NODE_3	39	41071	41433	-1	C	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]								MoaE protein [PF02391.20]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_40	AM-388-A20_contigs	AM-388-A20_NODE_3	40	41437	42051	-1	C	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]								MobA-like NTP transferase domain [PF12804.10]; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.22]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_41	AM-388-A20_contigs	AM-388-A20_NODE_3	41	42401	42946	1	C	K02825	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]								Phosphoribosyl transferase domain [PF00156.30]					0
AM-388-A20_contigs_AM-388-A20_NODE_3_42	AM-388-A20_contigs	AM-388-A20_NODE_3	42	42962	43468	1	C	K03638	molybdopterin adenylyltransferase [EC:2.7.7.75]								Probable molybdopterin binding domain [PF00994.27]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_1	AM-388-A20_contigs	AM-388-A20_NODE_30	1	346	663	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_2	AM-388-A20_contigs	AM-388-A20_NODE_30	2	782	1723	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_3	AM-388-A20_contigs	AM-388-A20_NODE_30	3	1838	3214	-1	C	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]								Reverse transcriptase (RNA-dependent DNA polymerase) [PF00078.30]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_4	AM-388-A20_contigs	AM-388-A20_NODE_30	4	3820	4275	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_5	AM-388-A20_contigs	AM-388-A20_NODE_30	5	4635	4805	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_6	AM-388-A20_contigs	AM-388-A20_NODE_30	6	4783	4935	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_7	AM-388-A20_contigs	AM-388-A20_NODE_30	7	4956	5159	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_8	AM-388-A20_contigs	AM-388-A20_NODE_30	8	5156	5464	-1	C	K09803	uncharacterized protein								Ribonuclease toxin, BrnT, of type II toxin-antitoxin system [PF04365.16]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_9	AM-388-A20_contigs	AM-388-A20_NODE_30	9	5491	5781	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_10	AM-388-A20_contigs	AM-388-A20_NODE_30	10	5818	6342	-1	D										AAA domain [PF13521.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_11	AM-388-A20_contigs	AM-388-A20_NODE_30	11	6391	6669	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_12	AM-388-A20_contigs	AM-388-A20_NODE_30	12	6679	8298	-1	C	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]								Reverse transcriptase (RNA-dependent DNA polymerase) [PF00078.30]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_13	AM-388-A20_contigs	AM-388-A20_NODE_30	13	8337	8672	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_14	AM-388-A20_contigs	AM-388-A20_NODE_30	14	8752	9615	1	D										Radical SAM superfamily [PF04055.24]					0
AM-388-A20_contigs_AM-388-A20_NODE_30_15	AM-388-A20_contigs	AM-388-A20_NODE_30	15	9949	10155	1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_30_16	AM-388-A20_contigs	AM-388-A20_NODE_30	16	10278	10391	1	D										UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain [PF03721.17]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_1	AM-388-A20_contigs	AM-388-A20_NODE_31	1	2	271	-1	C	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]								Uroporphyrinogen decarboxylase (URO-D) [PF01208.20]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_2	AM-388-A20_contigs	AM-388-A20_NODE_31	2	448	1146	-1	D										SNARE associated Golgi protein [PF09335.14]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_3	AM-388-A20_contigs	AM-388-A20_NODE_31	3	1804	2100	1	D										Antibiotic biosynthesis monooxygenase [PF03992.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_4	AM-388-A20_contigs	AM-388-A20_NODE_31	4	2231	4393	-1	C	K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]								Aldehyde ferredoxin oxidoreductase, domains 2 & 3 [PF01314.21]; Aldehyde ferredoxin oxidoreductase, N-terminal domain [PF02730.18]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_5	AM-388-A20_contigs	AM-388-A20_NODE_31	5	4738	5673	1	C	K07219	putative molybdopterin biosynthesis protein								PBP superfamily domain [PF12727.10]; Helix-turn-helix domain [PF12728.10]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_6	AM-388-A20_contigs	AM-388-A20_NODE_31	6	5709	6605	1	C	K05772	tungstate transport system substrate-binding protein								PBP superfamily domain [PF12849.10]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_7	AM-388-A20_contigs	AM-388-A20_NODE_31	7	6712	7407	1	C	K05773	tungstate transport system permease protein													0
AM-388-A20_contigs_AM-388-A20_NODE_31_8	AM-388-A20_contigs	AM-388-A20_NODE_31	8	7404	8117	1	C	K06857	tungstate transport system ATP-binding protein [EC:7.3.2.6]								ABC transporter [PF00005.30]; RecF/RecN/SMC N terminal domain [PF02463.22]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_9	AM-388-A20_contigs	AM-388-A20_NODE_31	9	8427	9377	1	C	K01008	selenide, water dikinase [EC:2.7.9.3]								AIR synthase related protein, N-terminal domain [PF00586.27]; AIR synthase related protein, C-terminal domain [PF02769.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_31_10	AM-388-A20_contigs	AM-388-A20_NODE_31	10	9411	9971	1	D										Sulfurtransferase TusA [PF01206.20]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_1	AM-388-A20_contigs	AM-388-A20_NODE_32	1	3	650	1	C	K07160	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]								LamB/YcsF family [PF03746.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_2	AM-388-A20_contigs	AM-388-A20_NODE_32	2	656	1399	1	D										Carboxyltransferase domain, subdomain C and D [PF02682.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_3	AM-388-A20_contigs	AM-388-A20_NODE_32	3	1396	2337	1	D										Carboxyltransferase domain, subdomain A and B [PF02626.18]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_4	AM-388-A20_contigs	AM-388-A20_NODE_32	4	2405	3574	1	C	K00812	aspartate aminotransferase [EC:2.6.1.1]								Aminotransferase class I and II [PF00155.24]; Cys/Met metabolism PLP-dependent enzyme [PF01053.23]; Orn/Lys/Arg decarboxylase, major domain [PF01276.23]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_5	AM-388-A20_contigs	AM-388-A20_NODE_32	5	3600	4244	1	C	K10218	4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]								Aldolase/RraA [PF03737.18]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_6	AM-388-A20_contigs	AM-388-A20_NODE_32	6	4309	5109	1	C	K15023	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]								Pterin binding enzyme [PF00809.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_7	AM-388-A20_contigs	AM-388-A20_NODE_32	7	5207	6883	-1	C	K01474	N-methylhydantoinase B [EC:3.5.2.14]								Hydantoinase B/oxoprolinase [PF02538.17]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_8	AM-388-A20_contigs	AM-388-A20_NODE_32	8	6887	8968	-1	C	K01473	N-methylhydantoinase A [EC:3.5.2.14]								Hydantoinase/oxoprolinase [PF01968.21]; Hydantoinase/oxoprolinase N-terminal region [PF05378.16]; Hydantoinase/oxoprolinase C-terminal domain [PF19278.2]					0
AM-388-A20_contigs_AM-388-A20_NODE_32_9	AM-388-A20_contigs	AM-388-A20_NODE_32	9	8961	9557	-1	C	K05799	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex								FCD domain [PF07729.15]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_1	AM-388-A20_contigs	AM-388-A20_NODE_33	1	83	283	1	C	K03704	cold shock protein								'Cold-shock' DNA-binding domain [PF00313.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_2	AM-388-A20_contigs	AM-388-A20_NODE_33	2	503	1981	-1	D										beta-1,4-mannooligosaccharide phosphorylase [PF04041.16]	GH130	GH130 beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.339); beta-1,2-oligomannan phosphorylase (EC 2.4.1.340); beta-1,2-mannosidase (EC 3.2.1.-); beta-1,3-oligomannan phosphorylase (EC 2.4.1.-)	2.4.1.281,2.4.1.319,2.4.1.320,2.4.1.339,2.4.1.340,2.4.1.-,3.2.1.197	GH130.hmm	0
AM-388-A20_contigs_AM-388-A20_NODE_33_3	AM-388-A20_contigs	AM-388-A20_NODE_33	3	2181	2774	1	C	K01673	carbonic anhydrase [EC:4.2.1.1]								Carbonic anhydrase [PF00484.22]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_4	AM-388-A20_contigs	AM-388-A20_NODE_33	4	2913	4259	1	C	K00346	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]								Na(+)-translocating NADH-quinone reductase subunit A (NQRA) [PF05896.14]; 4Fe-4S dicluster domain [PF13183.9]; 4Fe-4S dicluster domain [PF13534.9]; 4Fe-4S dicluster domain [PF13187.9]; 4Fe-4S dicluster domain [PF12838.10]; NQRA C-terminal domain [PF11973.11]; 4Fe-4S dicluster domain [PF14697.9]; 4Fe-4S double cluster binding domain [PF13484.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_5	AM-388-A20_contigs	AM-388-A20_NODE_33	5	4256	5437	1	C	K00347	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]								NQR2, RnfD, RnfE family [PF03116.18]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_6	AM-388-A20_contigs	AM-388-A20_NODE_33	6	5430	6146	1	C	K00348	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]								FMN-binding domain [PF04205.17]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_7	AM-388-A20_contigs	AM-388-A20_NODE_33	7	6218	6862	1	C	K00349	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]								Rnf-Nqr subunit, membrane protein [PF02508.17]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_8	AM-388-A20_contigs	AM-388-A20_NODE_33	8	6874	7482	1	C	K00350	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]								Rnf-Nqr subunit, membrane protein [PF02508.17]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_9	AM-388-A20_contigs	AM-388-A20_NODE_33	9	7546	8763	1	C	K00351	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]								Oxidoreductase NAD-binding domain [PF00175.24]; Oxidoreductase FAD-binding domain [PF00970.27]; 2Fe-2S iron-sulfur cluster binding domain [PF00111.30]					0
AM-388-A20_contigs_AM-388-A20_NODE_33_10	AM-388-A20_contigs	AM-388-A20_NODE_33	10	8763	9290	1	D										Putative ATP-dependant zinc protease [PF05618.14]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_1	AM-388-A20_contigs	AM-388-A20_NODE_34	1	2	1042	-1	C	K00194	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]								CO dehydrogenase/acetyl-CoA synthase delta subunit [PF03599.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_2	AM-388-A20_contigs	AM-388-A20_NODE_34	2	1412	3373	-1	D										C-terminal domain of RACo the ASKHA domain [PF14574.9]; RACo middle region [PF17651.4]; RACo linker region [PF17650.4]; 2Fe-2S iron-sulfur cluster binding domain [PF00111.30]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_3	AM-388-A20_contigs	AM-388-A20_NODE_34	3	3461	5338	-1	D										Acetyl-CoA hydrolase/transferase C-terminal domain [PF13336.9]; Acetyl-CoA hydrolase/transferase N-terminal domain [PF02550.18]; Acetyltransferase (GNAT) family [PF00583.28]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_4	AM-388-A20_contigs	AM-388-A20_NODE_34	4	5561	6925	1	C	K09760	DNA recombination protein RmuC								RmuC family [PF02646.19]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_5	AM-388-A20_contigs	AM-388-A20_NODE_34	5	7060	7518	1	D										DnaJ domain [PF00226.34]; Protein of unknown function (DUF1232) [PF06803.15]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_6	AM-388-A20_contigs	AM-388-A20_NODE_34	6	7843	8043	1	C	K03704	cold shock protein								'Cold-shock' DNA-binding domain [PF00313.25]					0
AM-388-A20_contigs_AM-388-A20_NODE_34_7	AM-388-A20_contigs	AM-388-A20_NODE_34	7	8155	8976	1	C	K09924	uncharacterized protein													0
AM-388-A20_contigs_AM-388-A20_NODE_34_8	AM-388-A20_contigs	AM-388-A20_NODE_34	8	9014	9418	1	C	K02614	acyl-CoA thioesterase [EC:3.1.2.-]													0
AM-388-A20_contigs_AM-388-A20_NODE_35_1	AM-388-A20_contigs	AM-388-A20_NODE_35	1	136	1788	-1	D										Iron-sulfur cluster-binding domain [PF13186.9]					0
AM-388-A20_contigs_AM-388-A20_NODE_35_2	AM-388-A20_contigs	AM-388-A20_NODE_35	2	1785	3107	-1	E															0
AM-388-A20_contigs_AM-388-A20_NODE_35_3	AM-388-A20_contigs	AM-388-A20_NODE_35	3	3214	4257	-1	D										Alcohol dehydrogenase GroES-like domain [PF08240.15]					0
